,percentage,lime,shap,grad,LEG_exact,LEG
0,0.01,0.3125758469104767,0.015810633078217506,0.9954257607460022,0.8217419981956482,0.9731989502906799
1,0.02,0.8428383469581604,0.02322545275092125,0.970349133014679,0.6777251958847046,0.7207351922988892
2,0.03,0.5957744121551514,0.009365018457174301,0.9071182012557983,0.2858867049217224,0.49653592705726624
3,0.04,0.1278887540102005,0.007948892191052437,0.8763468265533447,0.21451954543590546,0.5112127661705017
4,0.05,0.12462200224399567,0.004229246638715267,0.885067343711853,0.28660616278648376,0.29949530959129333
5,0.060000000000000005,0.09965623170137405,0.002264635870233178,0.5489353537559509,0.10201194137334824,0.12134168297052383
6,0.06999999999999999,0.20104020833969116,0.002739391988143325,0.14540964365005493,0.02785983681678772,0.27175673842430115
7,0.08,0.03737131878733635,0.002652919851243496,0.17260390520095825,0.016109654679894447,0.08203263580799103
8,0.09,0.025767523795366287,0.0019534826278686523,0.24699781835079193,0.01902063563466072,0.15681320428848267
9,0.09999999999999999,0.032495178282260895,0.0015317120123654604,0.04472437500953674,0.01905563287436962,0.06794596463441849
10,0.11,0.017768405377864838,0.0006562520284205675,0.030411189422011375,0.026067344471812248,0.04221290349960327
11,0.12,0.025265928357839584,0.0002869751479011029,0.03969268500804901,0.012933974154293537,0.04421877861022949
12,0.13,0.036273933947086334,0.0003207339032087475,0.0740371122956276,0.006899269763380289,0.05725781247019768
13,0.14,0.008503123186528683,0.00029027785058133304,0.031597819179296494,0.0040276325307786465,0.04098347947001457
14,0.15000000000000002,0.001155244535766542,0.00022802977764513344,0.062353648245334625,0.004594508558511734,0.043669477105140686
15,0.16,0.007091423496603966,0.00024470515199936926,0.13803739845752716,0.0005918153328821063,0.05484321340918541
16,0.17,0.0017359035555273294,0.0002292739081894979,0.14220747351646423,0.0013102757511660457,0.05319105461239815
17,0.18000000000000002,0.0006572861457243562,0.0002169101790059358,0.14691059291362762,0.0011618873104453087,0.06020106002688408
18,0.19,0.0025317182298749685,0.0002665261272341013,0.1372375339269638,0.0009015508694574237,0.09478426724672318
19,0.2,0.0030184779316186905,0.00023402267834171653,0.06128426641225815,0.0006106949876993895,0.049850109964609146
20,0.21000000000000002,0.003593702334910631,0.00024084669712465256,0.055406928062438965,0.0004496059555094689,0.09842830151319504
21,0.22,0.007127522490918636,0.0002779621281661093,0.046403661370277405,0.00024549991940148175,0.11913484334945679
22,0.23,0.012416757643222809,0.00032593830837868154,0.03891848027706146,0.00021066352201160043,0.0968342199921608
23,0.24000000000000002,0.016799991950392723,0.00039265985833480954,0.0318448469042778,0.00014437510981224477,0.06891780346632004
24,0.25,0.008895087987184525,0.0005389672587625682,0.02558017149567604,3.73151597159449e-05,0.047283124178647995
25,0.26,0.019934501498937607,0.0006413346854969859,0.01962485909461975,4.4940108637092635e-05,0.042392656207084656
26,0.27,0.020299723371863365,0.000726762053091079,0.020165465772151947,5.2799099648837e-05,0.07013139873743057
27,0.28,0.014830476604402065,0.0007099188514985144,0.012896038591861725,2.8999587811995298e-05,0.049960047006607056
28,0.29000000000000004,0.009277844801545143,0.00047826554509811103,0.016143713146448135,1.5550664102192968e-05,0.04490731284022331
29,0.3,0.00373190944083035,0.00042052415665239096,0.006581500638276339,1.825477374950424e-05,0.09191552549600601
30,0.31,0.0010546187404543161,0.0004065918328706175,0.004488400183618069,2.6396475732326508e-05,0.07422617822885513
31,0.32,0.0024991955142468214,0.0005006619612686336,0.007337481714785099,2.089096415147651e-05,0.06835881620645523
