,x,LEG,LEG-TV,LIME,CShap,KernelSHAP,GradCam
0,0,0.005005005005005005,0.005005005005005005,0.004004004004004004,0.005005005005005005,0.002002002002002002,0.01001001001001001
1,1,0.10510510510510511,0.07407407407407407,0.09509509509509509,0.044044044044044044,0.10010010010010009,0.05205205205205205
2,2,0.001001001001001001,0.001001001001001001,0.016016016016016016,0.011011011011011011,0.004004004004004004,0.011011011011011011
3,3,0.16816816816816815,0.07707707707707707,0.18518518518518517,0.08108108108108109,0.12412412412412413,0.12812812812812813
4,4,0.1011011011011011,0.026026026026026026,0.008008008008008008,0.03303303303303303,0.011011011011011011,0.005005005005005005
5,5,0.043043043043043044,0.07607607607607608,0.1991991991991992,0.23323323323323322,0.02702702702702703,0.10710710710710711
6,6,0.023023023023023025,0.012012012012012012,0.03203203203203203,0.1041041041041041,0.023023023023023025,0.037037037037037035
7,7,0.04104104104104104,0.017017017017017015,0.016016016016016016,0.036036036036036036,0.04004004004004004,0.07807807807807808
8,8,0.022022022022022022,0.017017017017017015,0.004004004004004004,0.008008008008008008,0.003003003003003003,0.012012012012012012
9,9,0.003003003003003003,0.013013013013013013,0.01001001001001001,0.002002002002002002,0.004004004004004004,0.002002002002002002
10,10,0.001001001001001001,0.023023023023023025,0.004004004004004004,0.005005005005005005,0.007007007007007007,0.004004004004004004
11,11,0.04604604604604605,0.007007007007007007,0.050050050050050046,0.012012012012012012,0.035035035035035036,0.005005005005005005
12,12,0.06106106106106106,0.06506506506506507,0.036036036036036036,0.08808808808808809,0.04104104104104104,0.05405405405405406
13,13,0.03903903903903904,0.001001001001001001,0.001001001001001001,0.023023023023023025,0.003003003003003003,0.02102102102102102
14,14,0.02102102102102102,0.024024024024024024,0.04004004004004004,0.06006006006006006,0.058058058058058054,0.012012012012012012
15,15,0.3133133133133133,0.23223223223223222,0.15615615615615616,0.1941941941941942,0.16116116116116116,0.2882882882882883
16,16,0.006006006006006006,0.009009009009009009,0.04504504504504504,0.006006006006006006,0.023023023023023025,0.001001001001001001
17,17,0.01001001001001001,0.011011011011011011,0.057057057057057055,0.029029029029029027,0.023023023023023025,0.015015015015015015
18,18,0.002002002002002002,0.004004004004004004,0.001001001001001001,0.001001001001001001,0.002002002002002002,0.006006006006006006
19,19,0.001001001001001001,0.009009009009009009,0.001001001001001001,0.006006006006006006,0.003003003003003003,0.001001001001001001
20,20,0.06306306306306306,0.012012012012012012,0.1981981981981982,0.01901901901901902,0.02002002002002002,0.015015015015015015
21,21,0.007007007007007007,0.018018018018018018,0.006006006006006006,0.08508508508508508,0.04004004004004004,0.04204204204204204
22,22,0.03003003003003003,0.043043043043043044,0.5385385385385385,0.27427427427427425,0.050050050050050046,0.11911911911911911
23,23,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.003003003003003003
24,24,0.024024024024024024,0.04804804804804805,0.6136136136136137,0.08808808808808809,0.0890890890890891,0.04504504504504504
25,25,0.044044044044044044,0.050050050050050046,0.08408408408408408,0.03403403403403403,0.03003003003003003,0.06706706706706707
26,26,0.005005005005005005,0.009009009009009009,0.04504504504504504,0.023023023023023025,0.012012012012012012,0.004004004004004004
27,27,0.022022022022022022,0.011011011011011011,0.09109109109109109,0.03003003003003003,0.08208208208208208,0.017017017017017015
28,28,0.01001001001001001,0.004004004004004004,0.007007007007007007,0.006006006006006006,0.024024024024024024,0.004004004004004004
29,29,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.004004004004004004,0.001001001001001001
30,30,0.02002002002002002,0.016016016016016016,0.058058058058058054,0.03903903903903904,0.023023023023023025,0.014014014014014014
31,31,0.043043043043043044,0.023023023023023025,0.23023023023023023,0.06406406406406406,0.036036036036036036,0.05105105105105105
32,32,0.013013013013013013,0.022022022022022022,0.004004004004004004,0.05405405405405406,0.004004004004004004,0.006006006006006006
33,33,0.050050050050050046,0.20520520520520522,0.02702702702702703,0.06506506506506507,0.018018018018018018,0.03003003003003003
34,34,0.03803803803803804,0.013013013013013013,0.003003003003003003,0.001001001001001001,0.005005005005005005,0.001001001001001001
35,35,0.007007007007007007,0.02702702702702703,0.1011011011011011,0.01001001001001001,0.01901901901901902,0.018018018018018018
36,36,0.16816816816816815,0.18518518518518517,0.11911911911911911,0.28928928928928926,0.23123123123123124,0.24924924924924924
37,37,0.11811811811811812,0.08608608608608609,0.13313313313313313,0.11411411411411411,0.07607607607607608,0.1031031031031031
38,38,0.031031031031031032,0.04504504504504504,0.014014014014014014,0.2032032032032032,0.0960960960960961,0.11911911911911911
39,39,0.014014014014014014,0.04004004004004004,0.05305305305305305,0.04704704704704705,0.04704704704704705,0.08108108108108109
40,40,0.008008008008008008,0.013013013013013013,0.02102102102102102,0.035035035035035036,0.036036036036036036,0.044044044044044044
41,41,0.001001001001001001,0.001001001001001001,0.003003003003003003,0.001001001001001001,0.001001001001001001,0.003003003003003003
42,42,0.03403403403403403,0.025025025025025023,0.008008008008008008,0.06306306306306306,0.02102102102102102,0.01901901901901902
43,43,0.016016016016016016,0.004004004004004004,0.002002002002002002,0.028028028028028028,0.004004004004004004,0.006006006006006006
44,44,0.006006006006006006,0.001001001001001001,0.002002002002002002,0.001001001001001001,0.005005005005005005,0.001001001001001001
45,45,0.09109109109109109,0.07207207207207207,0.037037037037037035,0.013013013013013013,0.02702702702702703,0.008008008008008008
46,46,0.02102102102102102,0.024024024024024024,0.001001001001001001,0.003003003003003003,0.012012012012012012,0.009009009009009009
47,47,0.06106106106106106,0.037037037037037035,0.002002002002002002,0.011011011011011011,0.005005005005005005,0.008008008008008008
48,48,0.012012012012012012,0.005005005005005005,0.07607607607607608,0.012012012012012012,0.013013013013013013,0.008008008008008008
49,49,0.006006006006006006,0.004004004004004004,0.04604604604604605,0.026026026026026026,0.024024024024024024,0.001001001001001001
50,50,0.02002002002002002,0.057057057057057055,0.025025025025025023,0.13713713713713713,0.005005005005005005,0.018018018018018018
51,51,0.06406406406406406,0.0920920920920921,0.13713713713713713,0.07307307307307308,0.03403403403403403,0.34034034034034033
52,52,0.014014014014014014,0.015015015015015015,0.006006006006006006,0.056056056056056056,0.006006006006006006,0.13313313313313313
53,53,0.1061061061061061,0.016016016016016016,0.23423423423423423,0.2042042042042042,0.02102102102102102,0.023023023023023025
54,54,0.005005005005005005,0.002002002002002002,0.022022022022022022,0.003003003003003003,0.022022022022022022,0.002002002002002002
55,55,0.12912912912912913,0.07807807807807808,0.18218218218218218,0.16616616616616617,0.08108108108108109,0.1031031031031031
56,56,0.001001001001001001,0.002002002002002002,0.001001001001001001,0.002002002002002002,0.001001001001001001,0.001001001001001001
57,57,0.06006006006006006,0.04604604604604605,0.06506506506506507,0.2042042042042042,0.09109109109109109,0.12912912912912913
58,58,0.1961961961961962,0.17517517517517517,0.1021021021021021,0.3863863863863864,0.06606606606606606,0.07907907907907907
59,59,0.3013013013013013,0.1111111111111111,0.17717717717717718,0.18518518518518517,0.19019019019019018,0.056056056056056056
60,60,0.08008008008008008,0.11811811811811812,0.07207207207207207,0.16516516516516516,0.008008008008008008,0.13313313313313313
61,61,0.007007007007007007,0.018018018018018018,0.001001001001001001,0.002002002002002002,0.003003003003003003,0.013013013013013013
62,62,0.058058058058058054,0.10810810810810811,0.15815815815815815,0.34734734734734735,0.057057057057057055,0.13413413413413414
63,63,0.008008008008008008,0.006006006006006006,0.002002002002002002,0.023023023023023025,0.003003003003003003,0.009009009009009009
64,64,0.007007007007007007,0.017017017017017015,0.03303303303303303,0.023023023023023025,0.05105105105105105,0.13313313313313313
65,65,0.13513513513513514,0.08008008008008008,0.11511511511511512,0.26926926926926925,0.17017017017017017,0.4064064064064064
66,66,0.2952952952952953,0.14814814814814814,0.08608608608608609,0.07607607607607608,0.0980980980980981,0.11411411411411411
67,67,0.25925925925925924,0.17217217217217218,0.5375375375375375,0.11211211211211211,0.3883883883883884,0.5355355355355356
68,68,0.007007007007007007,0.007007007007007007,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001
69,69,0.1041041041041041,0.029029029029029027,0.05305305305305305,0.036036036036036036,0.02702702702702703,0.036036036036036036
