,x,LEG,LEG-TV,LIME,CShap,KernelSHAP,GradCam
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,249.5,0.06231431431431431,0.055629629629629626,0.11097897897897897,0.10053253253253253,0.05916116116116115,0.08647247247247247
std,144.4818327679989,0.10145626914048057,0.08533670687904968,0.17000573497311577,0.13147891770259365,0.0896983307833548,0.1311414173073212
min,0.0,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001
25%,124.75,0.007007007007007007,0.007007007007007007,0.005005005005005005,0.007007007007007007,0.006756756756756756,0.007007007007007007
50%,249.5,0.026026026026026026,0.02102102102102102,0.03303303303303303,0.04604604604604605,0.025025025025025023,0.03453453453453453
75%,374.25,0.06806806806806806,0.06431431431431431,0.1413913913913914,0.14564564564564564,0.07007007007007007,0.11336336336336336
max,499.0,0.8668668668668669,0.6716716716716716,0.8188188188188188,0.6826826826826827,0.7257257257257257,0.9369369369369369
