,x,LEG,LEG-TV,LIME,CShap,KernelSHAP,GradCam
0,0,0.015015015015015015,0.008008008008008008,0.001001001001001001,0.008008008008008008,0.02102102102102102,0.007007007007007007
1,1,0.0920920920920921,0.13113113113113112,0.21621621621621623,0.029029029029029027,0.16116116116116116,0.003003003003003003
2,2,0.22322322322322322,0.026026026026026026,0.03803803803803804,0.29929929929929927,0.03903903903903904,0.03803803803803804
3,3,0.24724724724724725,0.2602602602602603,0.08008008008008008,0.25825825825825827,0.05305305305305305,0.1881881881881882
4,4,0.02702702702702703,0.023023023023023025,0.2092092092092092,0.02702702702702703,0.012012012012012012,0.016016016016016016
5,5,0.1921921921921922,0.2112112112112112,0.22922922922922923,0.23323323323323322,0.08408408408408408,0.13413413413413414
6,6,0.03803803803803804,0.07907907907907907,0.04604604604604605,0.17117117117117117,0.05205205205205205,0.036036036036036036
7,7,0.0960960960960961,0.08608608608608609,0.1091091091091091,0.10710710710710711,0.03903903903903904,0.06106106106106106
8,8,0.01001001001001001,0.050050050050050046,0.02002002002002002,0.009009009009009009,0.003003003003003003,0.014014014014014014
9,9,0.005005005005005005,0.015015015015015015,0.02002002002002002,0.007007007007007007,0.015015015015015015,0.003003003003003003
10,10,0.007007007007007007,0.007007007007007007,0.02102102102102102,0.004004004004004004,0.022022022022022022,0.008008008008008008
11,11,0.03003003003003003,0.018018018018018018,0.014014014014014014,0.017017017017017015,0.035035035035035036,0.022022022022022022
12,12,0.07107107107107107,0.037037037037037035,0.03403403403403403,0.15315315315315314,0.037037037037037035,0.05405405405405406
13,13,0.07607607607607608,0.016016016016016016,0.07507507507507508,0.025025025025025023,0.004004004004004004,0.016016016016016016
14,14,0.04804804804804805,0.07407407407407407,0.031031031031031032,0.05105105105105105,0.024024024024024024,0.012012012012012012
15,15,0.25825825825825827,0.3983983983983984,0.1981981981981982,0.44144144144144143,0.14714714714714713,0.47047047047047047
16,16,0.002002002002002002,0.002002002002002002,0.007007007007007007,0.001001001001001001,0.014014014014014014,0.003003003003003003
17,17,0.05905905905905906,0.05205205205205205,0.1871871871871872,0.06906906906906907,0.05905905905905906,0.057057057057057055
18,18,0.011011011011011011,0.008008008008008008,0.001001001001001001,0.012012012012012012,0.001001001001001001,0.005005005005005005
19,19,0.005005005005005005,0.02002002002002002,0.09509509509509509,0.008008008008008008,0.043043043043043044,0.05205205205205205
20,20,0.13413413413413414,0.06906906906906907,0.46146146146146144,0.0970970970970971,0.03803803803803804,0.02702702702702703
21,21,0.07907907907907907,0.07307307307307308,0.07007007007007007,0.06306306306306306,0.02702702702702703,0.056056056056056056
22,22,0.14414414414414414,0.12712712712712712,0.7687687687687688,0.3203203203203203,0.26926926926926925,0.18018018018018017
23,23,0.001001001001001001,0.002002002002002002,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001
24,24,0.05205205205205205,0.1041041041041041,0.2112112112112112,0.16116116116116116,0.0890890890890891,0.15215215215215216
25,25,0.04604604604604605,0.06306306306306306,0.10510510510510511,0.08008008008008008,0.055055055055055056,0.08408408408408408
26,26,0.022022022022022022,0.036036036036036036,0.058058058058058054,0.02002002002002002,0.012012012012012012,0.008008008008008008
27,27,0.04704704704704705,0.13213213213213212,0.08108108108108109,0.043043043043043044,0.08208208208208208,0.03003003003003003
28,28,0.015015015015015015,0.007007007007007007,0.007007007007007007,0.007007007007007007,0.007007007007007007,0.008008008008008008
29,29,0.001001001001001001,0.003003003003003003,0.002002002002002002,0.001001001001001001,0.002002002002002002,0.001001001001001001
30,30,0.1841841841841842,0.03803803803803804,0.06006006006006006,0.0960960960960961,0.06106106106106106,0.043043043043043044
31,31,0.11211211211211211,0.04804804804804805,0.5015015015015015,0.06906906906906907,0.036036036036036036,0.04904904904904905
32,32,0.01001001001001001,0.058058058058058054,0.16216216216216217,0.05305305305305305,0.013013013013013013,0.006006006006006006
33,33,0.12112112112112113,0.23423423423423423,0.14114114114114115,0.03903903903903904,0.029029029029029027,0.03203203203203203
34,34,0.008008008008008008,0.014014014014014014,0.002002002002002002,0.001001001001001001,0.003003003003003003,0.006006006006006006
35,35,0.036036036036036036,0.22322322322322322,0.19519519519519518,0.017017017017017015,0.02702702702702703,0.06106106106106106
36,36,0.2032032032032032,0.2122122122122122,0.12612612612612611,0.1841841841841842,0.11811811811811812,0.1921921921921922
37,37,0.1871871871871872,0.1871871871871872,0.07207207207207207,0.14814814814814814,0.08208208208208208,0.23623623623623624
38,38,0.3563563563563564,0.18518518518518517,0.5815815815815816,0.2912912912912913,0.1981981981981982,0.22822822822822822
39,39,0.06806806806806806,0.19019019019019018,0.02702702702702703,0.24924924924924924,0.05105105105105105,0.2852852852852853
40,40,0.008008008008008008,0.018018018018018018,0.09509509509509509,0.07607607607607608,0.05905905905905906,0.04104104104104104
41,41,0.01001001001001001,0.011011011011011011,0.001001001001001001,0.003003003003003003,0.001001001001001001,0.002002002002002002
42,42,0.07607607607607608,0.08408408408408408,0.06906906906906907,0.07107107107107107,0.05105105105105105,0.058058058058058054
43,43,0.04904904904904905,0.005005005005005005,0.003003003003003003,0.10810810810810811,0.003003003003003003,0.009009009009009009
44,44,0.018018018018018018,0.002002002002002002,0.001001001001001001,0.004004004004004004,0.012012012012012012,0.003003003003003003
45,45,0.0990990990990991,0.2092092092092092,0.058058058058058054,0.055055055055055056,0.02702702702702703,0.015015015015015015
46,46,0.02702702702702703,0.001001001001001001,0.002002002002002002,0.04104104104104104,0.055055055055055056,0.016016016016016016
