,x,LEG,LEG-TV,LIME,CShap,KernelSHAP,GradCam
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,249.5,0.41144944944944944,0.4254634634634634,0.48586786786786784,0.5928168168168167,0.49845245245245245,0.5592832832832833
std,144.4818327679989,0.4307689784195637,0.43082679090750525,0.4588660457023057,0.4467887924089011,0.4691913016372121,0.45675389170867975
min,0.0,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001
25%,124.75,0.030530530530530533,0.028028028028028028,0.022022022022022022,0.07182182182182183,0.025775775775775778,0.03378378378378378
50%,249.5,0.16966966966966968,0.2107107107107107,0.25225225225225223,1.0,0.23473473473473472,0.8198198198198199
75%,374.25,1.0,1.0,1.0,1.0,1.0,1.0
max,499.0,1.0,1.0,1.0,1.0,1.0,1.0
