,x,LEG,LEG-TV,LIME,CShap,KernelSHAP,GradCam
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,249.5,0.07622222222222222,0.07257457457457459,0.12714114114114114,0.11744144144144145,0.04971971971971972,0.09468068068068067
std,144.4818327679989,0.10113538960593645,0.09184288923209415,0.1894360857067385,0.13932177229342102,0.07159142975835847,0.13307724185923395
min,0.0,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001
25%,124.75,0.007007007007007007,0.009009009009009009,0.005005005005005005,0.01001001001001001,0.005005005005005005,0.007007007007007007
50%,249.5,0.03903903903903904,0.03803803803803804,0.035035035035035036,0.06006006006006006,0.024024024024024024,0.04054054054054054
75%,374.25,0.10510510510510511,0.10010010010010009,0.17542542542542544,0.17517517517517517,0.062062062062062065,0.1276276276276276
max,499.0,0.8148148148148148,0.5995995995995996,0.8628628628628628,0.7147147147147147,0.6866866866866866,0.9369369369369369
