,x,LEG,LEG-TV,LIME,CShap,KernelSHAP,GradCam
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,249.5,0.06894894894894896,0.06753953953953953,0.08435835835835835,0.10472472472472473,0.06016816816816817,0.08914314314314313
std,144.4818327679989,0.0983387375147174,0.09247258617548403,0.13064345551710915,0.12419657670629858,0.07671345867554177,0.12700957518176864
min,0.0,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001
25%,124.75,0.01001001001001001,0.009009009009009009,0.005005005005005005,0.012012012012012012,0.008008008008008008,0.008008008008008008
50%,249.5,0.035035035035035036,0.03203203203203203,0.03053053053053053,0.05955955955955956,0.03203203203203203,0.036036036036036036
75%,374.25,0.0955955955955956,0.0920920920920921,0.1061061061061061,0.1498998998998999,0.07732732732732733,0.11636636636636635
max,499.0,0.9029029029029029,0.8918918918918919,0.7767767767767768,0.6956956956956957,0.6606606606606606,0.9409409409409409
