,x,LEG,LEG-TV,LIME,CShap,KernelSHAP,GradCam
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,249.5,0.11814014014014015,0.11563763763763762,0.16058058058058058,0.13139339339339337,0.07384784784784784,0.11544744744744745
std,144.4818327679989,0.12980644109495348,0.12384457507044304,0.21732694158252625,0.1502421624148058,0.08962874550942285,0.14923882661319454
min,0.0,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001
25%,124.75,0.01901901901901902,0.017017017017017015,0.013013013013013013,0.017017017017017015,0.012012012012012012,0.012012012012012012
50%,249.5,0.07457457457457457,0.07257257257257257,0.06656656656656657,0.07407407407407407,0.03903903903903904,0.05205205205205205
75%,374.25,0.17917917917917917,0.17917917917917917,0.19444444444444442,0.19844844844844844,0.10010010010010009,0.16516516516516516
max,499.0,0.8308308308308309,0.6466466466466466,0.8998998998998999,0.8958958958958959,0.48348348348348347,0.93993993993994
