,x,LEG,LEG-TV,LIME,CShap,KernelSHAP,GradCam
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,249.5,0.16284684684684686,0.16994994994994994,0.2693573573573574,0.3802842842842843,0.25063863863863867,0.31813613613613617
std,144.4818327679989,0.26043288252141417,0.27600593464601086,0.3669753982794988,0.41192617226037204,0.3711658243803353,0.39749948746247554
min,0.0,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001,0.001001001001001001
25%,124.75,0.012012012012012012,0.012012012012012012,0.008008008008008008,0.017017017017017015,0.011011011011011011,0.011761761761761762
50%,249.5,0.047547547547547545,0.05055055055055055,0.06556556556556556,0.15465465465465467,0.05105105105105105,0.08508508508508508
75%,374.25,0.19169169169169167,0.18518518518518517,0.4296796796796797,0.9864864864864864,0.28803803803803807,0.6063563563563563
max,499.0,1.0,1.0,1.0,1.0,1.0,1.0
